day,hour,listeners,callerlog,pageviews,host,showName,slug,archive_slug,description
0,0,30,1,16,,Atmospherics,ATM,ATM_10000,"Ambient, drone; spaced-out textures for deep meditation."
0,1,29,0,15,,Atmospherics,ATM,ATM_10000,"Ambient, drone; spaced-out textures for deep meditation."
0,2,26,0,3,,Atmospherics,ATM,ATM_10000,"Ambient, drone; spaced-out textures for deep meditation."
0,3,24,0,1,,Overnight Alternatives,OA,OA_10300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
0,4,23,0,6,,Overnight Alternatives,OA,OA_10300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
0,5,23,0,4,,Overnight Alternatives,OA,OA_10300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
0,6,23,0,1,,Classics,CL,CL_10600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
0,7,26,0,26,,Classics,CL,CL_10600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
0,8,24,0,47,,Classics,CL,CL_10600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
0,9,23,2,34,,Jazz,JAZZ,JAZZ_10900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
0,10,25,1,41,,Jazz,JAZZ,JAZZ_10900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
